epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,2812.09,1.009,0.87838,1.09893,0.78717,0.64198,0.75847,0.54421,1.02723,1.41466,1.0522,0.00184556,0.00184556,0.00184556
80,2823.73,0.9831,0.84475,1.00994,0.6621,0.62896,0.6711,0.49515,1.04013,1.56158,1.05912,0.00184358,0.00184358,0.00184358
81,2835.54,0.90518,0.9384,1.07535,0.6621,0.62896,0.6711,0.49515,1.04013,1.56158,1.05912,0.0018416,0.0018416,0.0018416
82,2847.08,0.90188,0.78268,1.00847,0.65955,0.48148,0.5747,0.41857,1.09313,1.71787,1.09844,0.00183962,0.00183962,0.00183962
83,2858.69,1.04061,0.91018,1.08548,0.65955,0.48148,0.5747,0.41857,1.09313,1.71787,1.09844,0.00183764,0.00183764,0.00183764
84,2870.25,0.94825,0.87584,1.01577,0.48364,0.451,0.45354,0.32995,1.14626,2.01962,1.13572,0.00183566,0.00183566,0.00183566
85,2881.84,1.14263,0.9558,1.1508,0.48364,0.451,0.45354,0.32995,1.14626,2.01962,1.13572,0.00183368,0.00183368,0.00183368
86,2893.43,0.97296,0.86634,1.03719,0.45844,0.64198,0.53836,0.36927,1.1466,1.81595,1.13188,0.0018317,0.0018317,0.0018317
87,2905.42,1.01665,0.8681,1.05297,0.45844,0.64198,0.53836,0.36927,1.1466,1.81595,1.13188,0.00182972,0.00182972,0.00182972
88,2917.17,1.00588,0.80217,1.02407,0.84758,0.68655,0.77702,0.5523,1.10485,1.29102,1.09769,0.00182774,0.00182774,0.00182774
89,2929.05,0.98557,0.86887,1.05836,0.84758,0.68655,0.77702,0.5523,1.10485,1.29102,1.09769,0.00182576,0.00182576,0.00182576
90,2940.94,0.91227,0.87048,1.03632,0.91245,0.82716,0.88379,0.66251,0.96174,1.02482,1.03222,0.00182378,0.00182378,0.00182378
91,2953,0.9495,0.81773,1.02245,0.91245,0.82716,0.88379,0.66251,0.96174,1.02482,1.03222,0.0018218,0.0018218,0.0018218
92,2964.95,0.94329,0.8585,1.02502,0.97642,0.81481,0.89227,0.66079,0.95733,0.97649,1.04273,0.00181982,0.00181982,0.00181982
93,2976.8,1.10233,0.9554,1.03559,0.97642,0.81481,0.89227,0.66079,0.95733,0.97649,1.04273,0.00181784,0.00181784,0.00181784
94,2988.77,1.04268,0.86435,1.04009,0.97051,0.81248,0.89491,0.67514,0.94076,0.97372,1.03091,0.00181586,0.00181586,0.00181586
95,3000.71,1.02852,0.84978,1.02595,0.97051,0.81248,0.89491,0.67514,0.94076,0.97372,1.03091,0.00181388,0.00181388,0.00181388
96,3012.77,0.84449,0.80056,0.99026,0.9585,0.8555,0.91558,0.69945,0.9004,0.91666,1.00326,0.0018119,0.0018119,0.0018119
97,3024.84,0.99487,0.82402,1.05845,0.9585,0.8555,0.91558,0.69945,0.9004,0.91666,1.00326,0.00180992,0.00180992,0.00180992
98,3037.1,1.01827,0.82365,1.08814,0.91936,0.87654,0.93312,0.7029,0.88548,0.8528,0.997,0.00180794,0.00180794,0.00180794
99,3049.17,1.02061,0.85823,1.09947,0.91936,0.87654,0.93312,0.7029,0.88548,0.8528,0.997,0.00180596,0.00180596,0.00180596
100,3061.6,0.87229,0.86126,1.00809,0.94513,0.88889,0.9279,0.6804,0.93308,0.86742,0.9965,0.00180398,0.00180398,0.00180398
101,3073.75,0.93503,0.76929,0.99093,0.94513,0.88889,0.9279,0.6804,0.93308,0.86742,0.9965,0.001802,0.001802,0.001802
102,3086.03,0.94326,0.79244,0.98014,0.90995,0.90123,0.93251,0.68781,0.96311,0.86335,1.0159,0.00180002,0.00180002,0.00180002
103,3098.24,0.96531,0.75112,0.99146,0.90995,0.90123,0.93251,0.68781,0.96311,0.86335,1.0159,0.00179804,0.00179804,0.00179804
104,3110.97,0.91824,0.7781,0.98056,0.88973,0.89658,0.93237,0.69817,0.92349,0.81898,0.99696,0.00179606,0.00179606,0.00179606
105,3123.01,1.0016,0.80299,1.0617,0.88973,0.89658,0.93237,0.69817,0.92349,0.81898,0.99696,0.00179408,0.00179408,0.00179408
106,3701.86,0.8229,0.73989,1.00776,0.88589,0.90123,0.91597,0.7299,0.81344,0.81716,0.95011,0.0017921,0.0017921,0.0017921
107,3715.11,0.81699,0.72842,0.99616,0.88589,0.90123,0.91597,0.7299,0.81344,0.81716,0.95011,0.00179012,0.00179012,0.00179012
108,3726.99,0.97839,0.99988,1.08271,0.86169,0.83951,0.92894,0.72561,0.83139,0.88143,0.95276,0.00178814,0.00178814,0.00178814
109,3738.7,0.99018,0.77909,1.05249,0.86169,0.83951,0.92894,0.72561,0.83139,0.88143,0.95276,0.00178616,0.00178616,0.00178616
110,3750.35,0.8994,0.78054,1.02036,0.93465,0.88889,0.93681,0.7236,0.81807,0.87807,0.96166,0.00178418,0.00178418,0.00178418
111,3762.17,0.85057,0.75758,1.00073,0.93465,0.88889,0.93681,0.7236,0.81807,0.87807,0.96166,0.0017822,0.0017822,0.0017822
112,3774.47,0.87304,0.74414,1.02875,0.94486,0.91358,0.94751,0.71127,0.86629,0.76974,0.98129,0.00178022,0.00178022,0.00178022
113,3810.29,0.86082,0.72681,0.98597,0.94486,0.91358,0.94751,0.71127,0.86629,0.76974,0.98129,0.00177824,0.00177824,0.00177824
114,3822.41,0.86998,0.75719,0.99699,0.95958,0.88889,0.93825,0.71314,0.85719,0.77191,0.97784,0.00177626,0.00177626,0.00177626
115,3833.82,0.93884,0.7619,1.01842,0.95958,0.88889,0.93825,0.71314,0.85719,0.77191,0.97784,0.00177428,0.00177428,0.00177428
116,3845.51,0.9757,0.78397,1.02898,0.94148,0.87654,0.93231,0.72322,0.83009,0.8096,0.97989,0.0017723,0.0017723,0.0017723
117,3857.11,0.87682,0.72815,1.00638,0.94148,0.87654,0.93231,0.72322,0.83009,0.8096,0.97989,0.00177032,0.00177032,0.00177032
118,3894.22,0.91422,0.82625,1.06811,0.93249,0.90123,0.94112,0.7339,0.83885,0.81386,0.98356,0.00176834,0.00176834,0.00176834
119,3906.99,0.80696,0.6992,0.95908,0.93249,0.90123,0.94112,0.7339,0.83885,0.81386,0.98356,0.00176636,0.00176636,0.00176636
120,3918.86,0.91173,0.76028,1.04686,0.94924,0.92347,0.95351,0.75846,0.79878,0.78558,0.95825,0.00176438,0.00176438,0.00176438
121,3930.4,0.83103,0.72849,0.98291,0.94924,0.92347,0.95351,0.75846,0.79878,0.78558,0.95825,0.0017624,0.0017624,0.0017624
122,4843.97,0.85007,0.77142,1.00146,0.96149,0.92484,0.95902,0.75122,0.84626,0.74102,0.96918,0.00176042,0.00176042,0.00176042
123,4856.87,0.89307,0.70205,1.01816,0.96149,0.92484,0.95902,0.75122,0.84626,0.74102,0.96918,0.00175844,0.00175844,0.00175844
124,4869.52,0.90624,0.69982,0.98608,0.94966,0.93163,0.95981,0.75191,0.8154,0.71586,0.96284,0.00175646,0.00175646,0.00175646
125,4881.62,0.77589,0.70288,0.98189,0.94966,0.93163,0.95981,0.75191,0.8154,0.71586,0.96284,0.00175448,0.00175448,0.00175448
126,4893.59,0.82024,0.69053,0.95566,0.96113,0.91571,0.95684,0.73936,0.83856,0.66834,0.95212,0.0017525,0.0017525,0.0017525
127,4905.42,0.79738,0.69567,0.98262,0.96113,0.91571,0.95684,0.73936,0.83856,0.66834,0.95212,0.00175052,0.00175052,0.00175052
128,4917.11,0.90741,0.67985,0.9961,0.9711,0.90123,0.9556,0.74998,0.79698,0.65846,0.94043,0.00174854,0.00174854,0.00174854
129,4928.83,0.80881,0.67302,0.95166,0.9711,0.90123,0.9556,0.74998,0.79698,0.65846,0.94043,0.00174656,0.00174656,0.00174656
130,4940.33,0.8067,0.64633,0.98392,0.98679,0.92205,0.95847,0.76055,0.78074,0.65821,0.92005,0.00174458,0.00174458,0.00174458
131,4951.84,0.99627,0.82737,1.0571,0.98679,0.92205,0.95847,0.76055,0.78074,0.65821,0.92005,0.0017426,0.0017426,0.0017426
132,4963.63,0.89671,0.81492,1.02812,0.98783,0.92593,0.96346,0.74863,0.8411,0.67976,0.9511,0.00174062,0.00174062,0.00174062
133,4975.44,0.88333,0.6888,0.96634,0.98783,0.92593,0.96346,0.74863,0.8411,0.67976,0.9511,0.00173864,0.00173864,0.00173864
134,4987.15,0.91894,0.76295,1.11401,0.97314,0.95062,0.96568,0.74572,0.84246,0.69114,0.96511,0.00173666,0.00173666,0.00173666
135,4998.52,0.83298,0.72301,0.99254,0.97314,0.95062,0.96568,0.74572,0.84246,0.69114,0.96511,0.00173468,0.00173468,0.00173468
136,5010.16,0.95488,0.73048,1.01943,0.98266,0.95062,0.96667,0.76975,0.80533,0.67578,0.96128,0.0017327,0.0017327,0.0017327
137,5021.83,0.83532,0.69162,0.99192,0.98266,0.95062,0.96667,0.76975,0.80533,0.67578,0.96128,0.00173072,0.00173072,0.00173072
138,5033.67,0.86915,0.73171,1.02738,0.97418,0.93177,0.97076,0.79052,0.77818,0.66501,0.95439,0.00172874,0.00172874,0.00172874
139,5045.54,0.87427,0.7054,1.00845,0.97418,0.93177,0.97076,0.79052,0.77818,0.66501,0.95439,0.00172676,0.00172676,0.00172676
140,5109.25,0.86058,0.64531,1.00013,0.9395,0.95854,0.96802,0.80001,0.70329,0.65584,0.92466,0.00172478,0.00172478,0.00172478
141,5121.3,0.86663,0.7353,1.00008,0.9395,0.95854,0.96802,0.80001,0.70329,0.65584,0.92466,0.0017228,0.0017228,0.0017228
142,5133.11,0.81214,0.66585,1.00143,0.97434,0.93772,0.96104,0.78929,0.69601,0.67303,0.89877,0.00172082,0.00172082,0.00172082
143,5145.1,0.89335,0.72055,1.01926,0.97434,0.93772,0.96104,0.78929,0.69601,0.67303,0.89877,0.00171884,0.00171884,0.00171884
144,5156.68,0.89151,0.6616,1.02771,0.97901,0.95062,0.96715,0.79858,0.68668,0.65208,0.89661,0.00171686,0.00171686,0.00171686
145,5168.3,0.87156,0.72234,0.99585,0.97901,0.95062,0.96715,0.79858,0.68668,0.65208,0.89661,0.00171488,0.00171488,0.00171488
146,5180.29,0.81396,0.64896,0.97046,0.98003,0.96296,0.96663,0.78139,0.76653,0.65914,0.92372,0.0017129,0.0017129,0.0017129
147,5191.93,0.83924,0.66749,1.00036,0.98003,0.96296,0.96663,0.78139,0.76653,0.65914,0.92372,0.00171092,0.00171092,0.00171092
148,5206.46,0.89355,0.69078,1.00465,0.98731,0.96027,0.96687,0.79376,0.70469,0.61698,0.913,0.00170894,0.00170894,0.00170894
149,5422.68,0.8082,0.68152,0.97052,0.98731,0.96027,0.96687,0.79376,0.70469,0.61698,0.913,0.00170696,0.00170696,0.00170696
150,5434.74,0.90034,0.69751,1.00606,0.95916,0.97531,0.9739,0.79763,0.68366,0.58795,0.909,0.00170498,0.00170498,0.00170498
151,5446.4,0.87142,0.67489,0.99951,0.95916,0.97531,0.9739,0.79763,0.68366,0.58795,0.909,0.001703,0.001703,0.001703
152,5643.1,0.94209,0.85885,1.02302,0.98708,0.94297,0.9741,0.78646,0.735,0.59908,0.92555,0.00170102,0.00170102,0.00170102
153,5656.21,1.01824,0.80546,1.0764,0.98708,0.94297,0.9741,0.78646,0.735,0.59908,0.92555,0.00169904,0.00169904,0.00169904
154,5668.65,0.81308,0.63776,0.98727,0.96287,0.9604,0.97233,0.79296,0.72855,0.59514,0.93244,0.00169706,0.00169706,0.00169706
155,5680.41,0.79605,0.63336,0.92693,0.96287,0.9604,0.97233,0.79296,0.72855,0.59514,0.93244,0.00169508,0.00169508,0.00169508
156,5691.89,0.77525,0.59154,0.95714,0.98452,0.95062,0.96355,0.78168,0.75183,0.58512,0.93371,0.0016931,0.0016931,0.0016931
157,5703.64,0.90015,0.6494,0.96877,0.98452,0.95062,0.96355,0.78168,0.75183,0.58512,0.93371,0.00169112,0.00169112,0.00169112
158,5715.37,0.90503,0.6889,1.01321,0.98398,0.95062,0.9642,0.79053,0.70612,0.57083,0.91594,0.00168914,0.00168914,0.00168914
159,5726.98,0.77167,0.60001,0.94312,0.98398,0.95062,0.9642,0.79053,0.70612,0.57083,0.91594,0.00168716,0.00168716,0.00168716
160,5738.62,0.75897,0.59309,0.96565,0.99751,0.95062,0.96489,0.80447,0.66943,0.55141,0.89653,0.00168518,0.00168518,0.00168518
161,5752.69,0.86101,0.64772,0.96859,0.99751,0.95062,0.96489,0.80447,0.66943,0.55141,0.89653,0.0016832,0.0016832,0.0016832
162,5764.56,0.79134,0.59526,0.91605,0.99843,0.96296,0.9748,0.81409,0.6849,0.54774,0.89693,0.00168122,0.00168122,0.00168122
163,6676.94,0.80345,0.6068,0.9413,0.99843,0.96296,0.9748,0.81409,0.6849,0.54774,0.89693,0.00167924,0.00167924,0.00167924
164,6691.38,0.75024,0.61165,0.98072,0.98722,0.95392,0.98418,0.8099,0.65173,0.54664,0.88747,0.00167726,0.00167726,0.00167726
165,6702.91,0.84153,0.74612,1.01696,0.98722,0.95392,0.98418,0.8099,0.65173,0.54664,0.88747,0.00167528,0.00167528,0.00167528
166,6714.5,0.77351,0.579,0.92069,0.96381,0.95062,0.9822,0.80905,0.65252,0.55514,0.8873,0.0016733,0.0016733,0.0016733
167,6726.11,0.73259,0.62773,0.93232,0.96381,0.95062,0.9822,0.80905,0.65252,0.55514,0.8873,0.00167132,0.00167132,0.00167132
168,6737.8,0.92578,0.75697,0.97121,0.95982,0.96296,0.98338,0.81974,0.65534,0.56623,0.89314,0.00166934,0.00166934,0.00166934
169,6749.31,0.71396,0.60509,0.92373,0.95982,0.96296,0.98338,0.81974,0.65534,0.56623,0.89314,0.00166736,0.00166736,0.00166736
170,6760.82,0.80459,0.73912,0.96835,0.98711,0.94571,0.98633,0.80062,0.70545,0.57637,0.90375,0.00166538,0.00166538,0.00166538
171,6772.49,0.84146,0.60965,0.93502,0.98711,0.94571,0.98633,0.80062,0.70545,0.57637,0.90375,0.0016634,0.0016634,0.0016634
172,6784.28,0.73239,0.59,0.92291,0.97321,0.95062,0.97315,0.77939,0.75939,0.59267,0.92143,0.00166142,0.00166142,0.00166142
173,6795.8,0.72662,0.55977,0.90455,0.97321,0.95062,0.97315,0.77939,0.75939,0.59267,0.92143,0.00165944,0.00165944,0.00165944
174,6807.46,0.80939,0.65439,0.99127,0.97481,0.96296,0.97823,0.79345,0.74967,0.57378,0.91339,0.00165746,0.00165746,0.00165746
175,6819.07,0.85728,0.69044,0.99343,0.97481,0.96296,0.97823,0.79345,0.74967,0.57378,0.91339,0.00165548,0.00165548,0.00165548
176,6830.52,0.69837,0.61628,0.94227,0.95935,0.97531,0.97651,0.81163,0.69176,0.55365,0.89723,0.0016535,0.0016535,0.0016535
177,6842.03,0.89779,0.63641,1.00663,0.95935,0.97531,0.97651,0.81163,0.69176,0.55365,0.89723,0.00165152,0.00165152,0.00165152
178,6853.58,0.87929,0.72122,0.93849,0.98689,0.96296,0.96822,0.80783,0.68632,0.55153,0.89461,0.00164954,0.00164954,0.00164954
179,6865.18,0.79836,0.58169,0.93977,0.98689,0.96296,0.96822,0.80783,0.68632,0.55153,0.89461,0.00164756,0.00164756,0.00164756
180,6876.87,0.77047,0.65158,0.97239,0.96136,0.96296,0.97102,0.79346,0.7151,0.53768,0.89987,0.00164558,0.00164558,0.00164558
181,6888.72,0.7456,0.6339,0.93557,0.96136,0.96296,0.97102,0.79346,0.7151,0.53768,0.89987,0.0016436,0.0016436,0.0016436
182,6900.42,0.76782,0.69643,1.01351,0.94901,0.96296,0.97085,0.75371,0.81611,0.57273,0.92761,0.00164162,0.00164162,0.00164162
183,6912.54,0.75853,0.62867,0.97803,0.94901,0.96296,0.97085,0.75371,0.81611,0.57273,0.92761,0.00163964,0.00163964,0.00163964
